mean,std,min,max,range,variance,truth,mean_error,abs_mean_error,rmse,max_error,percent_error,file,filter
112.42484433962261,8.91772038907592,62.677,118.75,56.073,79.52573693774036,120.0,-7.575155660377356,7.575155660377356,11.684759253661912,57.323,6.312629716981159,distorted_120,ema
135.66826022304843,22.378028225646972,59.508,159.846,100.338,500.77614726785254,160.0,-24.331739776951682,24.331739776951682,33.02950327322281,100.49199999999999,15.207337360594728,distorted_160,ema
20.93460162601626,4.808065973332284,13.612,45.338,31.726,23.11749840391572,20.0,0.9346016260162598,2.642869918699185,4.888456303632091,25.338,4.6730081300813,distorted_20,ema
120.57524434389141,56.916265637689406,11.634,263.73,252.096,3239.4612941400237,200.0,-79.42475565610859,82.60671040723977,97.63756914872206,188.36599999999999,39.712377828054294,distorted_200,ema
269.35827329192546,60.89290571928182,0.051,300.019,299.968,3707.945966937345,300.0,-30.64172670807453,30.641962732919254,67.9987548584394,299.949,10.213908902691514,distorted_300,ema
32.7480934065934,6.730581879655044,0.051,40.255,40.204,45.30073243874082,40.0,-7.251906593406592,7.254708791208791,9.881395476092687,39.949,18.129766483516505,distorted_40,ema
75.3081558441558,6.67831017431076,46.344,85.347,39.00299999999999,44.59982678430262,80.0,-4.691844155844155,5.4231774891774895,8.149856165835658,33.656,5.864805194805243,distorted_80,ema
112.42484433962261,8.91772038907592,62.677,118.75,56.073,79.52573693774036,120.0,-7.575155660377356,7.575155660377356,11.684759253661912,57.323,6.312629716981159,distorted_120,lp
135.66826022304843,22.378028225646972,59.508,159.846,100.338,500.77614726785254,160.0,-24.331739776951682,24.331739776951682,33.02950327322281,100.49199999999999,15.207337360594728,distorted_160,lp
20.93460162601626,4.808065973332284,13.612,45.338,31.726,23.11749840391572,20.0,0.9346016260162598,2.642869918699185,4.888456303632091,25.338,4.6730081300813,distorted_20,lp
120.57524434389141,56.916265637689406,11.634,263.73,252.096,3239.4612941400237,200.0,-79.42475565610859,82.60671040723977,97.63756914872206,188.36599999999999,39.712377828054294,distorted_200,lp
269.35827329192546,60.89290571928182,0.051,300.019,299.968,3707.945966937345,300.0,-30.64172670807453,30.641962732919254,67.9987548584394,299.949,10.213908902691514,distorted_300,lp
32.7480934065934,6.730581879655044,0.051,40.255,40.204,45.30073243874082,40.0,-7.251906593406592,7.254708791208791,9.881395476092687,39.949,18.129766483516505,distorted_40,lp
75.3081558441558,6.67831017431076,46.344,85.347,39.00299999999999,44.59982678430262,80.0,-4.691844155844155,5.4231774891774895,8.149856165835658,33.656,5.864805194805243,distorted_80,lp
116.61466037735853,1.1167853653931252,114.099,119.21,5.11099999999999,1.2472095523562563,120.0,-3.3853396226415104,3.3853396226415104,3.563965607165229,5.900999999999996,2.821116352201223,distorted_120,median
151.27059851301073,32.81565365050418,0.051,164.76,164.709,1076.8671245098483,160.0,-8.729401486988854,9.274115241635698,33.8978812216885,159.949,5.455875929368297,distorted_160,median
20.13524796747969,2.411351105622672,0.051,25.125,25.074,5.814614154587683,20.0,0.13524796747967469,1.5522560975609774,2.410242627701667,19.949,0.6762398373984446,distorted_20,median
107.61418099547488,98.0283117028574,0.051,211.014,210.96300000000002,9609.549895312568,200.0,-92.38581900452495,92.536298642534,134.5407273736332,199.949,46.19290950226256,distorted_200,median
284.88199378882,57.43739881258737,0.051,300.451,300.40000000000003,3299.054782356213,300.0,-15.11800621118011,15.132428571428552,59.220924263849454,299.949,5.039335403726663,distorted_300,median
34.76263736263738,6.937808393450467,0.051,40.474,40.422999999999995,48.13318530423176,40.0,-5.237362637362641,5.242571428571433,8.677481469202435,39.949,13.093406593406556,distorted_40,median
76.62410822510817,4.682910727265759,57.778,83.812,26.034,21.929652879540726,80.0,-3.375891774891776,4.075017316017315,5.764665176146277,22.222,4.219864718614783,distorted_80,median
116.71377358490571,1.4057365564104796,112.212,121.353,9.140999999999991,1.9760952660287936,120.0,-3.28622641509434,3.3161037735849064,3.572962092327255,7.787999999999997,2.7385220125785756,distorted_120,outlier
158.77299999999983,3.5775501258522002,139.772,183.848,44.07600000000002,12.798864902985095,160.0,-1.2270000000000012,2.540695167286245,3.7758197096198742,23.848000000000013,0.766875000000109,distorted_160,outlier
20.26528861788618,2.216423344690795,12.519,27.389,14.87,4.91253244289033,20.0,0.26528861788617886,1.6082479674796755,2.2277658875190376,7.481,1.3264430894309065,distorted_20,outlier
142.14882805429852,94.58676517768953,0.051,470.15,470.099,8946.65614677938,200.0,-57.851171945701374,63.29068325791861,110.69296109180345,270.15,28.925585972850744,distorted_200,outlier
279.02248795180725,70.99042185651894,-1.0,300.554,301.554,5039.639995366522,300.0,-20.977512048192732,20.99071686746984,73.81962293332359,301.0,6.992504016064251,distorted_300,outlier
34.7173152173913,7.38623055063201,-1.0,42.583,43.583,54.55640174708964,40.0,-5.282684782608698,5.364923913043481,9.064582620070656,41.0,13.206711956521744,distorted_40,outlier
76.99069696969698,4.569389891149431,52.976,92.37,39.394000000000005,20.879323977338604,80.0,-3.0093030303030304,3.9029307359307346,5.463043293041435,27.024,3.76162878787877,distorted_80,outlier
112.59665094339626,3.3182479432867984,102.624,116.797,14.173000000000002,11.010769413127068,120.0,-7.403349056603778,7.403349056603778,8.109772442890847,17.376000000000005,6.169457547169787,distorted_120,kalman
138.05204089219325,8.731106248092837,119.042,159.814,40.77199999999999,76.23221631548577,160.0,-21.94795910780668,21.94795910780668,23.61486256946504,40.958,13.71747444237922,distorted_160,kalman
20.651325203252046,1.6433990435253893,17.715,24.669,6.954000000000001,2.700760416260165,20.0,0.6513252032520324,1.2973170731707335,1.7646547072366197,4.6690000000000005,3.256626016260231,distorted_20,kalman
133.47203619909493,25.053360204109648,83.196,211.014,127.81800000000001,627.670857516865,200.0,-66.5279638009049,66.63746606334834,71.06898539718021,116.804,33.263981900452535,distorted_200,kalman
243.08365662650598,74.99984571391914,-1.0,296.698,297.698,5624.976857111676,300.0,-56.91634337349396,56.91634337349396,93.97106787393376,301.0,18.97211445783134,distorted_300,kalman
30.99527173913042,6.711150487483124,-1.0,35.611,36.611,45.03954086564497,40.0,-9.00472826086956,9.00472826086956,11.219620840489576,41.0,22.51182065217395,distorted_40,kalman
75.99783982683978,3.6726746426487,69.563,81.447,11.884,13.488539030754755,80.0,-4.0021601731601715,4.3577965367965374,5.426548916072547,10.436999999999998,5.002700216450275,distorted_80,kalman
